backstory,block_size,bonus_rate,color_cue,condition,counter,cue_colors,cue_counter,cue_within,fixed_blocks,show_feedback,wall_cue,pid
False,12,0,background,6,0,"{'miss': '#E3B643', 'hit': '#4C4FE1', 'neutral': '#53BA42'}",0,True,False,False,False,78
False,12,0,background,8,0,"{'miss': '#4C4FE1', 'hit': '#53BA42', 'neutral': '#E3B643'}",1,True,False,False,False,79
False,12,0,background,3,0,"{'miss': '#4C4FE1', 'hit': '#53BA42', 'neutral': '#E3B643'}",1,True,False,True,False,80
False,12,0,background,0,0,"{'miss': '#E3B643', 'hit': '#4C4FE1', 'neutral': '#53BA42'}",0,True,False,False,False,81
False,12,0,background,4,0,"{'miss': '#53BA42', 'hit': '#E3B643', 'neutral': '#4C4FE1'}",2,True,False,False,False,82
False,12,0,background,3,0,"{'miss': '#4C4FE1', 'hit': '#53BA42', 'neutral': '#E3B643'}",1,True,False,True,False,83
False,12,0,background,7,0,"{'miss': '#E3B643', 'hit': '#4C4FE1', 'neutral': '#53BA42'}",0,True,False,True,False,84
False,12,0,background,2,0,"{'miss': '#4C4FE1', 'hit': '#53BA42', 'neutral': '#E3B643'}",1,True,False,False,False,85
False,12,0,background,23,1,"{'miss': '#53BA42', 'hit': '#E3B643', 'neutral': '#4C4FE1'}",2,True,False,True,False,86
False,12,0,background,23,1,"{'miss': '#53BA42', 'hit': '#E3B643', 'neutral': '#4C4FE1'}",2,True,False,True,False,87
False,12,0,background,4,0,"{'miss': '#53BA42', 'hit': '#E3B643', 'neutral': '#4C4FE1'}",2,True,False,False,False,88
False,12,0,background,9,0,"{'miss': '#4C4FE1', 'hit': '#53BA42', 'neutral': '#E3B643'}",1,True,False,True,False,89
False,12,0,background,18,1,"{'miss': '#E3B643', 'hit': '#4C4FE1', 'neutral': '#53BA42'}",0,True,False,False,False,90
False,12,0,background,5,0,"{'miss': '#53BA42', 'hit': '#E3B643', 'neutral': '#4C4FE1'}",2,True,False,True,False,91
False,12,0,background,9,0,"{'miss': '#4C4FE1', 'hit': '#53BA42', 'neutral': '#E3B643'}",1,True,False,True,False,92
False,12,0,background,7,0,"{'miss': '#E3B643', 'hit': '#4C4FE1', 'neutral': '#53BA42'}",0,True,False,True,False,93
False,12,0,background,22,1,"{'miss': '#53BA42', 'hit': '#E3B643', 'neutral': '#4C4FE1'}",2,True,False,False,False,94
False,12,0,background,21,1,"{'miss': '#4C4FE1', 'hit': '#53BA42', 'neutral': '#E3B643'}",1,True,False,True,False,95
False,12,0,background,8,0,"{'miss': '#4C4FE1', 'hit': '#53BA42', 'neutral': '#E3B643'}",1,True,False,False,False,96
False,12,0,background,11,0,"{'miss': '#53BA42', 'hit': '#E3B643', 'neutral': '#4C4FE1'}",2,True,False,True,False,97
False,12,0,background,11,0,"{'miss': '#53BA42', 'hit': '#E3B643', 'neutral': '#4C4FE1'}",2,True,False,True,False,98
