key_press,rt,time_elapsed,trial_index,trial_type,pid
81.0,16819.0,130253.0,2.0,text,19
81.0,15505.0,165186.0,4.0,text,19
32.0,1105.0,177682.0,6.0,text,19
32.0,4518.0,230687.0,16.0,text,19
32.0,737.0,232448.0,17.0,text,19
32.0,3228.0,276779.0,31.0,text,19
32.0,1048.0,313984.0,45.0,text,19
32.0,119.0,352122.0,59.0,text,19
32.0,2981.0,392438.0,73.0,text,19
32.0,1608.0,434569.0,87.0,text,19
32.0,17055.0,492423.0,101.0,text,19
32.0,463.0,534798.0,115.0,text,19
32.0,520.0,575602.0,129.0,text,19
32.0,1430.0,618581.0,142.0,text,19
32.0,1014.0,676014.0,157.0,text,19
32.0,2628.0,2633.0,0.0,text,20
32.0,15041.0,18680.0,1.0,text,20
81.0,108576.0,128265.0,2.0,text,20
81.0,13991.0,177567.0,4.0,text,20
81.0,16360.0,287640.0,6.0,text,20
81.0,1800.0,306095.0,8.0,text,20
81.0,1176.0,363441.0,10.0,text,20
81.0,3008.0,390080.0,12.0,text,20
32.0,8104.0,405167.0,14.0,text,20
32.0,4731.0,490024.0,24.0,text,20
32.0,741.0,491767.0,25.0,text,20
32.0,1424.0,567231.0,39.0,text,20
32.0,2377.0,639641.0,53.0,text,20
32.0,970.0,715103.0,67.0,text,20
32.0,1329.0,782816.0,81.0,text,20
32.0,1480.0,850576.0,95.0,text,20
32.0,850.0,931561.0,109.0,text,20
32.0,930.0,1014271.0,123.0,text,20
32.0,2064.0,1112848.0,137.0,text,20
32.0,1358.0,1191968.0,150.0,text,20
32.0,8493.0,1256168.0,165.0,text,20
32.0,4565.0,4569.0,0.0,text,21
32.0,16216.0,21794.0,1.0,text,21
81.0,37506.0,60308.0,2.0,text,21
32.0,5090.0,89177.0,4.0,text,21
32.0,10748.0,152473.0,14.0,text,21
32.0,1459.0,155001.0,15.0,text,21
32.0,933.0,223827.0,29.0,text,21
32.0,2104.0,292793.0,43.0,text,21
32.0,1639.0,360128.0,57.0,text,21
32.0,1752.0,446579.0,71.0,text,21
32.0,1412.0,528497.0,85.0,text,21
32.0,1342.0,611522.0,99.0,text,21
32.0,1428.0,702944.0,113.0,text,21
32.0,1116.0,794697.0,127.0,text,21
32.0,2451.0,891245.0,140.0,text,21
32.0,2176.0,953217.0,155.0,text,21
32.0,42156.0,42164.0,0.0,text,22
32.0,46174.0,89372.0,1.0,text,22
81.0,71195.0,161599.0,2.0,text,22
32.0,6293.0,250685.0,4.0,text,22
32.0,54210.0,401282.0,14.0,text,22
32.0,1787.0,404081.0,15.0,text,22
32.0,79286.0,596676.0,29.0,text,22
32.0,5542.0,680697.0,43.0,text,22
32.0,3930.0,752116.0,57.0,text,22
32.0,4063.0,828232.0,71.0,text,22
32.0,2871.0,899886.0,85.0,text,22
32.0,3139.0,983974.0,99.0,text,22
32.0,3276.0,1074266.0,113.0,text,22
32.0,2383.0,1166285.0,127.0,text,22
32.0,6016.0,1253154.0,140.0,text,22
32.0,3662.0,1337843.0,155.0,text,22
32.0,4535.0,4538.0,0.0,text,23
32.0,13403.0,18941.0,1.0,text,23
81.0,25063.0,45004.0,2.0,text,23
81.0,16252.0,86607.0,4.0,text,23
32.0,1270.0,97279.0,6.0,text,23
32.0,11970.0,176804.0,16.0,text,23
32.0,2250.0,180060.0,17.0,text,23
32.0,4706.0,249354.0,31.0,text,23
32.0,1468.0,345365.0,45.0,text,23
32.0,3310.0,425724.0,59.0,text,23
